"bin"	"sample_id"	"seqnames"	"arm"	"start"	"end"	"gc"	"median_frag_gc"	"median_ratio"	"sd_ratio"	"median_ratio_corrected"	"sd_ratio_corrected"	"median_ratio_centered"	"sd_ratio_centered"	"median_coverage"	"sd_coverage"	"median_coverage_corrected"	"sd_coverage_corrected"	"median_coverage_centered"	"sd_coverage_centered"	"median_combined"	"sd_combined"	"median_combined_centered"	"sd_combined_centered"	"median_mode_size"	"median_mean_size"	"sd_mean_size"	"median_median_size"	"sd_median_size"	"median_q25_size"	"median_q75_size"
"16"	16	"median"	"chr1"	"1p"	76000000	80999999	0.3709254	0.380959529650697	0.196086939371228	0.055930942337861	0.201444084997389	0.056021454192665	0.000585164709454199	0.00386149288631475	0.000284495688897354	8.22286127201111e-05	0.00033328681618815	7.90493262872213e-05	0.00408148523242056	0.00308595321728059	6.71386577287149e-05	3.47476152801013e-05	0.00409205768267144	0.00362147090310644	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"17"	17	"median"	"chr1"	"1p"	81000000	85999999	0.3765244	0.38536332072328	0.194687842278204	0.0553538413475796	0.199702894043968	0.0554732818820948	-0.00181532034057101	0.00413983034022704	0.000284839075365546	7.90579917584759e-05	0.000325150369686691	7.56680585843253e-05	0.00235478277990303	0.00196093414681818	6.49334698258982e-05	3.30880699120991e-05	0.00158935057563944	0.00271487785889378	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"18"	18	"median"	"chr1"	"1p"	86000000	90999999	0.3868632	0.395072701220977	0.202852244389027	0.0561462586116676	0.205945918672531	0.0563531136582459	0.00450318333016557	0.00421464225396624	0.000316430630439242	7.68050868014557e-05	0.000347661266491279	7.45084128813419e-05	0.00535744492486201	0.00202018950668837	7.15994189144023e-05	3.41714027994036e-05	0.0065692832449702	0.00287470295796591	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"19"	19	"median"	"chr1"	"1p"	91000000	95999999	0.401425	0.410715406600645	0.205016768188351	0.0538859946840894	0.203232417987343	0.0544549076946529	0.00226931056954318	0.0035850726230691	0.000342871388490052	7.44787718619594e-05	0.000333528169035062	7.46535815153686e-05	0.00496446467251514	0.00140702196910631	6.73039977952068e-05	3.35658819581242e-05	0.00503529328422169	0.00246185873937281	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"20"	20	"median"	"chr1"	"1p"	96000000	100999999	0.3695882	0.379073468427814	0.196359213778493	0.0592639216387724	0.202273968852681	0.0589182757289823	0.00286114856171978	0.00706515234856014	0.000286441545550444	8.65315158117273e-05	0.00033963001795429	8.13569090356072e-05	0.00560588287769418	0.0032968722399239	6.86983116731214e-05	3.65390334931951e-05	0.00631030260923196	0.00502493467286385	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"21"	21	"median"	"chr1"	"1p"	101000000	105999999	0.352448	0.366072878647912	0.189013613565799	0.0544578214496326	0.198843102269143	0.0544580484651889	-0.00150508024293655	0.0024288206495068	0.000246028993297702	8.16769675146705e-05	0.000306607802067176	7.67902250490426e-05	-0.00121245186462685	0.00396775306660273	6.09668465429606e-05	3.22700028309554e-05	-0.00168355046849631	0.00378985490540379	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"22"	22	"median"	"chr1"	"1p"	106000000	110999999	0.4080776	0.417161141046457	0.211986869267996	0.0556853341667742	0.206831015025848	0.0566169122569457	0.00801183148223573	0.0043067308787803	0.000301677474127328	6.78759528810485e-05	0.00030148977056282	6.88049462378963e-05	-0.00529265611261845	0.00134446827097909	6.2357435265418e-05	3.14408681603823e-05	-0.00242435651628117	0.00230420762265557	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"23"	23	"median"	"chr1"	"1p"	111000000	115999999	0.4158712	0.424731135921761	0.207626266976771	0.0549215518710024	0.200732126275939	0.055605401402764	-0.000685776357184569	0.0035389756605707	0.0003509403248886	7.24548436567533e-05	0.00031895511473315	7.29964304965001e-05	0.000694310820056394	0.00132299655965962	6.38091486043014e-05	3.25397136477727e-05	0.000143088504957585	0.00217577533837755	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"24"	24	"median"	"chr1"	"1p"	116000000	120999999	0.407824	0.417054270659147	0.203369434416366	0.0545739742812941	0.198910742283084	0.0551092627383002	-0.00107912113637537	0.00319303475346968	0.000293008581192635	6.22164307468687e-05	0.000279246383855296	6.25758250843944e-05	-0.0114988465264508	0.00224292644426763	5.5545105492524e-05	2.82493705668388e-05	-0.010506918137248	0.00272287217248627	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"25"	25	"median"	"chr1"	"1q"	243900000	248899999	0.417046	0.424469732787537	0.224022327354413	0.0558644879336603	0.216950666275946	0.0564785585814855	0.0147574644767459	0.00616068217757778	0.000316992518311953	6.56040061111104e-05	0.00029211113017463	6.58921291860618e-05	-0.00966799698229368	0.00182195393659195	6.31728918014957e-05	2.9599897616964e-05	-0.00460857775263613	0.00291911428625892	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"26"	26	"median"	"chr1"	"1q"	238900000	243899999	0.394001	0.402851982326929	0.192465983537712	0.0514139021796684	0.194699916305465	0.0519514909481683	-0.0109110652842329	0.00431858361385942	0.000262290030620916	5.82815479024743e-05	0.000284795408706114	5.7581953474192e-05	-0.0175046558720653	0.00522391873749967	5.54496422392612e-05	2.4398434772881e-05	-0.018602931405277	0.00537354731791905	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"27"	27	"median"	"chr1"	"1q"	233900000	238899999	0.4109728	0.4211025882701	0.212100506258347	0.0536162651088902	0.205697261342366	0.0543276911939592	0.00629858920294167	0.00307359878855921	0.000330623937791192	6.94077887412281e-05	0.000310208028343489	7.06485078080831e-05	-0.00202011932556069	0.00152406500044429	6.38089418766708e-05	3.12562678877127e-05	0.00060719135912166	0.00209762400065434	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"28"	28	"median"	"chr1"	"1q"	228900000	233899999	0.4261614	0.436067821097045	0.209895641809213	0.0534636950212714	0.201822051827669	0.0540319266981807	-0.000913019092726536	0.00343380042104731	0.000400849792843016	7.65326934698968e-05	0.000347515570386696	7.4922729252231e-05	0.00574226531813666	0.00190102977256803	7.01363054575056e-05	3.28394533956931e-05	0.00439199739495349	0.0024153319273473	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"29"	29	"median"	"chr1"	"1q"	223700000	228899999	0.442317	0.45326372318599	0.220477298858633	0.0549292341336259	0.205779072346408	0.0557305417551195	0.005547122105357	0.00454393898265277	0.000385891212685571	7.46764281677889e-05	0.000314827758854552	7.30706534161078e-05	0.000385168701034873	0.00150054276912942	6.47849641659885e-05	3.25897245266146e-05	0.00219881144280505	0.00241661434757669	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"30"	30	"median"	"chr1"	"1q"	218500000	223499999	0.3979314	0.407007480458863	0.201351819757366	0.0563885019117639	0.201059275222123	0.0568039940387185	-0.00231742098633314	0.00455412560410041	0.000332455332288218	7.73534191523532e-05	0.000331350853827852	7.63333068248584e-05	0.0032634718229388	0.00141275293841784	6.66211625148596e-05	3.40521960883654e-05	0.00166613004775377	0.00265136940298837	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"31"	31	"median"	"chr1"	"1q"	213500000	218499999	0.382804	0.392461650602417	0.19164628270699	0.053573408418218	0.1955538678728	0.0538486807923161	-0.00924493991547362	0.00350907192214582	0.000295941904503765	7.50649313372132e-05	0.000327807888860016	7.31339099913897e-05	0.00106495492910106	0.00169008343065988	6.31243708885774e-05	3.16202871021126e-05	-0.00213939888749824	0.00231667324365405	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"32"	32	"median"	"chr1"	"1q"	208500000	213499999	0.4172742	0.425233278582822	0.208496911044158	0.0533099704777085	0.202747421660811	0.0538768849764669	0.000642829815790801	0.00293674675640296	0.000331809572979823	6.7061890116892e-05	0.000302846261700288	6.68609328863039e-05	-0.00534182120831454	0.00185681610644545	6.12760199151373e-05	2.94584922255109e-05	-0.00442983148436655	0.00221310571128886	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"33"	33	"median"	"chr1"	"1q"	203500000	208499999	0.4498026	0.459170958227302	0.226683744528452	0.055584578160663	0.213696632736776	0.0560287467183461	0.00958437619595704	0.00411336222898467	0.000406185794506686	8.12043774411775e-05	0.000358570843610703	7.4554215212959e-05	0.00481280705529211	0.00260144286770288	7.66253818771923e-05	3.39431199692108e-05	0.00778382170379618	0.00347054594507158	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"34"	34	"median"	"chr1"	"1q"	198500000	203499999	0.4300296	0.441183449678287	0.21363114087941	0.0558730295235218	0.201368378179941	0.0569110184583708	0.00532831608974597	0.00391401225452225	0.000386809031316627	7.85448554240439e-05	0.00034538372857696	7.79908111124758e-05	0.00526074243471746	0.00172608448496106	6.94066339197279e-05	3.53891857055242e-05	0.00686624671566008	0.00226276228883721	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"35"	35	"median"	"chr1"	"1q"	193500000	198499999	0.3521354	0.364675106442965	0.186020293122886	0.0550138866264601	0.196507802387275	0.0549273447222591	0.0010854380698999	0.00444716487485119	0.000254950952916913	8.54587893518245e-05	0.000308506478287565	7.98951879116985e-05	0.00189851951917052	0.00483352657483128	6.06239300705271e-05	3.37568530633272e-05	0.0015818830077301	0.00510399405066095	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"36"	36	"median"	"chr1"	"1q"	188500000	193499999	0.3475034	0.361077005374407	0.188973240964122	0.0541455402222465	0.200405719018022	0.0542268687392124	0.00172196896638587	0.00459203813761842	0.000257518994706419	8.77422191345812e-05	0.000317796668171152	8.27992233251679e-05	0.00388975989366095	0.0062651205193335	6.2947028114922e-05	3.4335110518374e-05	0.0040194054612431	0.00626683075549298	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"37"	37	"median"	"chr1"	"1q"	183500000	188499999	0.3750032	0.384820428575707	0.199875186353708	0.055327010361418	0.203902502083481	0.0556721205487931	0.0074109813104539	0.003987296255488	0.000287128318486829	7.99989118058445e-05	0.000327821301704225	7.74362156455365e-05	0.00487244727439282	0.00224780180611769	6.64897425107526e-05	3.43845346090946e-05	0.00676902765119584	0.00292157746445454	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"38"	38	"median"	"chr1"	"1q"	178500000	183499999	0.4177098	0.427035521047251	0.210006693440428	0.0539426224341179	0.204827695249267	0.0546464676582253	0.00114665752649255	0.00452498747847002	0.000362311564153877	7.52322450280357e-05	0.000329634967783835	7.57473229282476e-05	0.00473995026679622	0.00164212440263885	6.75183707247291e-05	3.30606987724778e-05	0.00476517087497212	0.00282311986358099	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"39"	39	"median"	"chr1"	"1q"	173500000	178499999	0.4003496	0.408928808757112	0.199373058949874	0.0540695147087806	0.198034891019238	0.054556711643533	-0.00368781149487788	0.00277905267906041	0.000330814586491158	7.47292706302841e-05	0.000330459655990712	7.46494470701414e-05	0.00327491608573374	0.00107260305193889	6.5085222135776e-05	3.26257643139379e-05	0.00197924437871623	0.00177878979415286	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"40"	40	"median"	"chr1"	"1q"	168500000	173499999	0.3864664	0.395681374486615	0.205728837150449	0.0555131212518657	0.208783517474377	0.0557495383615656	0.00548563446960719	0.0045002051249948	0.000322096507164415	7.70099446547368e-05	0.000349993197631335	7.46884446649415e-05	0.00590514519153833	0.00147129817501331	7.30728108935751e-05	3.37576460494241e-05	0.00715152918930693	0.00239190329775055	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"41"	41	"median"	"chr1"	"1q"	163500000	168499999	0.4061196	0.414526402415181	0.206193605881698	0.0541630482005424	0.204066398735444	0.0545384126018584	-0.00311517862763362	0.00474122393304621	0.00035859262565211	7.44616867383702e-05	0.000349600122432901	7.38956443685255e-05	0.00483101369308626	0.00202642479940495	7.12888558780658e-05	3.27333412013686e-05	0.0028215878338936	0.00302728670077281	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"42"	42	"median"	"chr1"	"1q"	158500000	163499999	0.4168188	0.424373861799822	0.218964504248886	0.0561008856144035	0.213322827413366	0.0566404723989141	0.0144552714885145	0.00324770124036295	0.000370022644514063	7.39040904021024e-05	0.000344019816477467	7.38567858162616e-05	0.00470059031454356	0.00146488416963702	7.33872799372005e-05	3.40891585659942e-05	0.00874812893239547	0.00216696543298962	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"43"	43	"median"	"chr1"	"1q"	153500000	158499999	0.4629116	0.470994174480062	0.239276338935347	0.0570024536878975	0.224344718065324	0.0573868502933412	0.0227452609564169	0.00442879057047962	0.00040897910445231	8.1883735228905e-05	0.000335593396930573	7.40148180500558e-05	0.00370382171875831	0.00213272512503291	7.52886060189735e-05	3.47603587963757e-05	0.010590950190083	0.00325175378717344	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"44"	44	"median"	"chr1"	"1q"	148500000	153499999	0.4291944	0.438109815408353	0.226890454284071	0.0570617952329471	0.214884818476564	0.0578004461577919	0.0153984097589879	0.00450684135286876	0.000304037339426217	5.97507124510853e-05	0.000255575509323777	5.94632170088485e-05	-0.0185339545686733	0.00223282885354473	5.4919296928095e-05	2.73930053936867e-05	-0.0124097203405616	0.0027567577155706	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"45"	45	"median"	"chr1"	"1q"	143500000	148499999	0.4215616	0.434548860475836	0.220089955022489	0.0559573735714625	0.207383937097966	0.0566259981716116	0.0077719708550868	0.00625856696994458	0.00018560038605796	3.39519084805159e-05	0.000163568079363502	3.21165232225931e-05	-0.0495450883672797	0.00465511638163591	3.38024938451646e-05	1.52735598931412e-05	-0.0430329129179485	0.00501454880630236	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"46"	46	"median"	"chr2"	"2p"	100000	5099999	0.4392142	0.451925228536041	0.202355072463768	0.0479948340714613	0.189287506636424	0.0494685365041035	-0.0214576189078747	0.00539450959258719	0.000342069757144642	6.16885400749664e-05	0.000265707219405656	6.39517899117587e-05	-0.0134346687896472	0.00294967232613173	5.0295057056594e-05	2.54238538968237e-05	-0.0167469534583737	0.00326960347021745	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"47"	47	"median"	"chr2"	"2p"	5100000	10099999	0.4228976	0.433990302800089	0.216334267347948	0.0543954196264841	0.207721754768793	0.0549952669768905	0.00363243645315977	0.00326663646265953	0.000382566605892223	7.70832014918017e-05	0.000334419383741082	7.62187238277573e-05	0.00461102299982189	0.00217399408319757	6.94582235334368e-05	3.3290973293877e-05	0.00542744583943579	0.00269375592932533	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"48"	48	"median"	"chr2"	"2p"	10100000	15099999	0.412684	0.422795919516335	0.206520989866961	0.0532372674482321	0.201499909061582	0.0542027411170066	-0.00610290898794423	0.00365184717411584	0.00034510423474934	7.45360956352229e-05	0.000330076543775323	7.56363698846735e-05	0.00327393575052489	0.00111526113759863	6.65103935540889e-05	3.26429189532394e-05	0.000937089619038981	0.0020043399292659	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"49"	49	"median"	"chr2"	"2p"	15100000	20199999	0.4075176	0.417071651573043	0.202049089293647	0.051779981866573	0.198586036366894	0.0523733072866517	-0.00962733069072939	0.00382164680444511	0.000352441725671314	7.17344773345812e-05	0.000339367129628982	7.16763190372675e-05	0.00337745989142072	0.0024366163528159	6.73935731462295e-05	3.06157586060265e-05	-0.00133433951453235	0.00305709558001145	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"50"	50	"median"	"chr2"	"2p"	20200000	25199999	0.4160844	0.426499816340054	0.202166368114644	0.0540943714638114	0.195254326155061	0.0549922928886275	-0.00553374139591747	0.00513267125100858	0.000349826382372392	7.55497913588907e-05	0.00032534096734246	7.61379007971568e-05	0.0036330731289956	0.00184373919995394	6.3398529932669e-05	3.31710977314975e-05	0.00188393546634924	0.00330062761063187	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"51"	51	"median"	"chr2"	"2p"	25200000	30199999	0.4461498	0.454541085792253	0.218269883383723	0.0543394611825065	0.208037297070097	0.0550538797491505	0.00603140656711215	0.00402321661161632	0.000416282027586406	8.02943453532921e-05	0.000346176080072014	7.62363355062027e-05	0.00661993826185116	0.00155795653102333	7.20175360085032e-05	3.42821561998874e-05	0.00813905032761875	0.00260957846879731	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"52"	52	"median"	"chr2"	"2p"	30200000	35199999	0.4010992	0.410231992766408	0.206263424097554	0.0544134146103125	0.204105603282136	0.0550711889394256	0.00276943113707853	0.00333327922961671	0.000340753838602866	7.38902702246258e-05	0.000333337600421785	7.4761203592338e-05	0.00363895283473164	0.00105585906893167	6.8036072030708e-05	3.3313112496889e-05	0.00408826294434485	0.00184536172187795	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"53"	53	"median"	"chr2"	"2p"	35200000	40199999	0.3953414	0.404848149975656	0.207233261809248	0.0553348566195535	0.207193623325014	0.0558509548861835	0.00906159622786536	0.00469107781877574	0.000323527284115217	7.30607554352e-05	0.000330898086716013	7.30699951299503e-05	0.00240433715226095	0.00152219521726205	6.85599735380053e-05	3.35780522568763e-05	0.00527812104849327	0.00290677043326803	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"54"	54	"median"	"chr2"	"2p"	40200000	45199999	0.4078556	0.416942925883488	0.208113364823562	0.0545005079391288	0.204309340519895	0.0553882240233147	0.00450353059744732	0.00503679859644161	0.000348082820173111	7.63281289823196e-05	0.000341992423417783	7.79133931690988e-05	0.00604417243932243	0.00170103522012954	6.91824855161101e-05	3.4513163924564e-05	0.00661259435895676	0.00295700987621185	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"55"	55	"median"	"chr2"	"2p"	45200000	50199999	0.4140638	0.422652736734289	0.209109453900946	0.0544384140528905	0.204649018480839	0.0550901867285348	0.00198573423020921	0.00339697715025293	0.000368351730739752	7.50043954711817e-05	0.000351633028534525	7.50158900153583e-05	0.00610794783652478	0.00181243486300967	7.12529585829357e-05	3.38326452107338e-05	0.0060532079381624	0.00239644887703397	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"56"	56	"median"	"chr2"	"2p"	50200000	55199999	0.3746186	0.384245020105676	0.196313977148224	0.054198208580736	0.200705235864664	0.0546272174919315	-0.000433446312987257	0.00367512844998003	0.000287128318486829	7.88922519199726e-05	0.000334421002182264	7.66965422822374e-05	0.00279879152127022	0.00217115388682838	6.71200461210886e-05	3.32780512476642e-05	0.00191828444548583	0.00257478600677377	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"57"	57	"median"	"chr2"	"2p"	55200000	60199999	0.374794	0.385087899384754	0.194089004642736	0.053011306775221	0.199070490332338	0.0533178771095191	-0.00604839386885906	0.00315356042585627	0.000294282203240836	7.72355778680672e-05	0.000337052743686865	7.3596134440682e-05	0.00373512046616165	0.00175140421761128	6.70875108651119e-05	3.17252219333503e-05	0.0015020603071758	0.00222654035068652	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"58"	58	"median"	"chr2"	"2p"	60200000	65199999	0.4103274	0.418617289827976	0.225689685991777	0.0577539311731701	0.221257970940207	0.0582657869997762	0.0235786758473319	0.00510383904017339	0.000366898762240352	7.75958944386013e-05	0.000342100328383534	7.8462800202794e-05	0.00737474822414362	0.00199284435968097	7.56924245161191e-05	3.72912238095346e-05	0.015323063329815	0.00355467409932478	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"59"	59	"median"	"chr2"	"2p"	65200000	70199999	0.4052914	0.413652952748845	0.212003144331659	0.0550435264662215	0.20990045900013	0.0553916873364126	0.00735508675183984	0.0036411383894255	0.000359052732343587	7.43052327788339e-05	0.000350330069645877	7.34165107644907e-05	0.00487004922274905	0.0022466619567265	7.16086399241048e-05	3.3216332205388e-05	0.0066553487400884	0.00271722907326351	166	166.71	3.12905477892667	167	2.4338877385388	157	178
"60"	60	"median"	"chr2"	"2p"	70200000	75199999	0.4372124	0.448149120402983	0.218388004763451	0.0551515106595948	0.204431080009293	0.0561860795564233	0.00802937211041347	0.00366460599725468	0.000403997083537812	7.85407754859995e-05	0.000332668847666104	7.82596137874315e-05	0.00575034811108841	0.00203123833847023	6.70768539349021e-05	3.52721295799985e-05	0.00707377062451125	0.00284241684207753	166	166.71	3.12905477892667	167	2.4338877385388	157	178
