"bin"	"sample_id"	"seqnames"	"arm"	"start"	"end"	"gc"	"median_frag_gc"	"median_ratio"	"sd_ratio"	"median_ratio_corrected"	"sd_ratio_corrected"	"median_ratio_centered"	"sd_ratio_centered"	"median_coverage"	"sd_coverage"	"median_coverage_corrected"	"sd_coverage_corrected"	"median_coverage_centered"	"sd_coverage_centered"	"median_combined"	"sd_combined"	"median_combined_centered"	"sd_combined_centered"	"median_mode_size"	"median_mean_size"	"sd_mean_size"	"median_median_size"	"sd_median_size"	"median_q25_size"	"median_q75_size"
13	"median"	"chr1"	"1p"	61000000	65999999	0.4018454	0.409830693396197	0.206543797887761	0.0554480672279727	0.205497206544725	0.0558483368479097	0.00160552727744631	0.00274563417988221	0.000362297695325582	7.66031281054826e-05	0.000359215642306055	7.61031221719863e-05	0.00608379286644545	0.00176109997518441	7.3817811041063e-05	3.4117099050521e-05	0.00563927651820218	0.00219679373880703	166	166.71	3.12905477892667	167	2.4338877385388	157	178
14	"median"	"chr1"	"1p"	66000000	70999999	0.3822582	0.391480601015099	0.201667284179326	0.0557513148525901	0.204373663279656	0.0559110674672586	-0.000711118180418049	0.00436164862370517	0.000311508757728485	7.89642085298363e-05	0.000339126666438611	7.62086537233972e-05	0.00387120296738201	0.0017376618354234	6.9308559135877e-05	3.38838888840444e-05	0.00327790274219321	0.00267078583627513	166	166.71	3.12905477892667	167	2.4338877385388	157	178
15	"median"	"chr1"	"1p"	71000000	75999999	0.3603798	0.37085916589697	0.183605578538832	0.0543393694297181	0.19388489892704	0.0540436714792773	-0.00555877014347078	0.0047693521023431	0.000259928188550182	8.27683739959016e-05	0.000326772697292348	7.70024900444478e-05	0.00120412347642353	0.00314715994653011	6.33562913866432e-05	3.26611526526994e-05	-0.000652051543220574	0.00361273108722493	166	166.71	3.12905477892667	167	2.4338877385388	157	178
16	"median"	"chr1"	"1p"	76000000	80999999	0.3709254	0.380959529650697	0.196086939371228	0.055930942337861	0.201444084997389	0.056021454192665	0.000425191245882026	0.003877993841547	0.000284495688897354	8.22286127201111e-05	0.00033328681618815	7.90493262872213e-05	0.00395732980952659	0.00300487991364783	6.71386577287149e-05	3.47476152801013e-05	0.00399866546390043	0.00356593411651261	166	166.71	3.12905477892667	167	2.4338877385388	157	178
17	"median"	"chr1"	"1p"	81000000	85999999	0.3765244	0.38536332072328	0.194687842278204	0.0553538413475796	0.199702894043968	0.0554732818820948	-0.00202260325504168	0.00416640961985872	0.000284839075365546	7.90579917584759e-05	0.000325150369686691	7.56680585843253e-05	0.00225533184251774	0.00190393867451998	6.49334698258982e-05	3.30880699120991e-05	0.00148556872190913	0.00266630106731817	166	166.71	3.12905477892667	167	2.4338877385388	157	178
18	"median"	"chr1"	"1p"	86000000	90999999	0.3868632	0.395072701220977	0.202852244389027	0.0561462586116676	0.205945918672531	0.0563531136582459	0.00434681323133067	0.00420330716510302	0.000316430630439242	7.68050868014557e-05	0.000347661266491279	7.45084128813419e-05	0.00518602580274409	0.00197126472763712	7.15994189144023e-05	3.41714027994036e-05	0.00643882167168535	0.00284033129536566	166	166.71	3.12905477892667	167	2.4338877385388	157	178
19	"median"	"chr1"	"1p"	91000000	95999999	0.401425	0.410715406600645	0.205016768188351	0.0538859946840894	0.203232417987343	0.0544549076946529	0.00206580582117657	0.00362349266311651	0.000342871388490052	7.44787718619594e-05	0.000333528169035062	7.46535815153686e-05	0.00484599674971437	0.00136367194837701	6.73039977952068e-05	3.35658819581242e-05	0.00495837078128933	0.00242857082907516	166	166.71	3.12905477892667	167	2.4338877385388	157	178
20	"median"	"chr1"	"1p"	96000000	100999999	0.3695882	0.379073468427814	0.196359213778493	0.0592639216387724	0.202273968852681	0.0589182757289823	0.00275468722668652	0.00708896307734031	0.000286441545550444	8.65315158117273e-05	0.00033963001795429	8.13569090356072e-05	0.00542394630422115	0.00320534125592561	6.86983116731214e-05	3.65390334931951e-05	0.00615191867632667	0.00494426456985537	166	166.71	3.12905477892667	167	2.4338877385388	157	178
21	"median"	"chr1"	"1p"	101000000	105999999	0.352448	0.366072878647912	0.189013613565799	0.0544578214496326	0.198843102269143	0.0544580484651889	-0.00151159844712724	0.00246022757858026	0.000246028993297702	8.16769675146705e-05	0.000306607802067176	7.67902250490426e-05	-0.00124731373655791	0.00388191047678102	6.09668465429606e-05	3.22700028309554e-05	-0.00173112680399584	0.00375640593461708	166	166.71	3.12905477892667	167	2.4338877385388	157	178
22	"median"	"chr1"	"1p"	106000000	110999999	0.4080776	0.417161141046457	0.211986869267996	0.0556853341667742	0.206831015025848	0.0566169122569457	0.00799822490689839	0.00423458407048641	0.000301677474127328	6.78759528810485e-05	0.00030148977056282	6.88049462378963e-05	-0.00517672869414917	0.00131819223589682	6.2357435265418e-05	3.14408681603823e-05	-0.00247003013098464	0.00227203322534464	166	166.71	3.12905477892667	167	2.4338877385388	157	178
23	"median"	"chr1"	"1p"	111000000	115999999	0.4158712	0.424731135921761	0.207626266976771	0.0549215518710024	0.200732126275939	0.055605401402764	-0.000786020518360047	0.00355864309459979	0.0003509403248886	7.24548436567533e-05	0.00031895511473315	7.29964304965001e-05	0.000639871307725528	0.0012921284409228	6.38091486043014e-05	3.25397136477727e-05	9.20525690449797e-05	0.00214309707042138	166	166.71	3.12905477892667	167	2.4338877385388	157	178
24	"median"	"chr1"	"1p"	116000000	120999999	0.407824	0.417054270659147	0.203369434416366	0.0545739742812941	0.198910742283084	0.0551092627383002	-0.00118847467429699	0.00320210483360769	0.000293008581192635	6.22164307468687e-05	0.000279246383855296	6.25758250843944e-05	-0.0112372898782027	0.00219562610497264	5.5545105492524e-05	2.82493705668388e-05	-0.0105868926591607	0.00270781063500948	166	166.71	3.12905477892667	167	2.4338877385388	157	178
25	"median"	"chr1"	"1q"	143200000	148199999	0.421111	0.434332526242433	0.219446270728322	0.0560205245468572	0.206500279104528	0.0567145299881266	0.00541655731891774	0.00663157218778572	0.000171297282497716	3.1435706877615e-05	0.000151822403887206	2.97353538185203e-05	-0.0519451861550219	0.00451031560957344	3.13513687770285e-05	1.4096362468942e-05	-0.0460838495841691	0.00487873437874141	166	166.71	3.12905477892667	167	2.4338877385388	157	178
26	"median"	"chr1"	"1q"	148200000	153199999	0.4273572	0.436724333703087	0.229418591591479	0.0571610625474835	0.217989090140647	0.0577676527262728	0.0182479290350963	0.00387327939811892	0.000295127643910004	5.77046939165944e-05	0.00024934628191088	5.74213752436902e-05	-0.020065674983207	0.00218898231927236	5.4354769123706e-05	2.66176994066656e-05	-0.0141937370921881	0.00265594501619879	166	166.71	3.12905477892667	167	2.4338877385388	157	178
27	"median"	"chr1"	"1q"	153200000	158199999	0.4671858	0.475298167354966	0.238447466793923	0.0568654836593813	0.222644868087931	0.0572457438463658	0.0219605854718021	0.00385997342698839	0.000416592467771211	8.32930147527876e-05	0.000334440196998187	7.38842943740279e-05	0.00352412694717237	0.00217180108019235	7.44613935439629e-05	3.46452483337224e-05	0.00995512589153306	0.00308272309697754	166	166.71	3.12905477892667	167	2.4338877385388	157	178
28	"median"	"chr1"	"1q"	158200000	163199999	0.4168592	0.424581836855114	0.220102493432669	0.0562971099041802	0.214407741319921	0.0568347629654101	0.0141822443345995	0.00361488107648925	0.000371306100021867	7.40934164426877e-05	0.000344543764373049	7.41048178452959e-05	0.00450660566517918	0.0015023442626861	7.38728503050884e-05	3.43057237366898e-05	0.00854539578923027	0.00238035593570135	166	166.71	3.12905477892667	167	2.4338877385388	157	178
29	"median"	"chr1"	"1q"	163200000	168199999	0.4036608	0.411958052051668	0.20480998222252	0.0538416699506536	0.203289112706018	0.0542625995551877	-0.00561982259362644	0.00430685178292482	0.000350504434338779	7.42204000199224e-05	0.000346842139275643	7.38561776427839e-05	0.00468406765630201	0.00180425941086631	6.97405090751663e-05	3.24595632058649e-05	0.00229357477816315	0.00271013345294955	166	166.71	3.12905477892667	167	2.4338877385388	157	178
30	"median"	"chr1"	"1q"	168200000	173199999	0.387689	0.396730654267603	0.205880507091753	0.0559081758434303	0.208650859640873	0.056115241101025	0.00677890920420233	0.00478528443566479	0.000325358678612243	7.73613536517081e-05	0.000350103895549075	7.52092743951153e-05	0.00564539069925233	0.00153978338607139	7.30494787699331e-05	3.41083933473958e-05	0.00718132718380927	0.00263142858985739	166	166.71	3.12905477892667	167	2.4338877385388	157	178
31	"median"	"chr1"	"1q"	173200000	178199999	0.4015118	0.410085384858363	0.200610704614853	0.0537061410204783	0.199227224029095	0.054178843875184	-0.00197201355375177	0.00329714970696866	0.000335389835540024	7.39311954338325e-05	0.000334418652498957	7.37710836592004e-05	0.00362044944243803	0.0013373759842582	6.64267821551135e-05	3.23372403838673e-05	0.00217827284234383	0.00207198460936083	166	166.71	3.12905477892667	167	2.4338877385388	157	178
32	"median"	"chr1"	"1q"	178200000	183199999	0.4146988	0.424061242009705	0.207684529828109	0.0543174489237331	0.203020937280328	0.0550529039242226	0.000295489796907496	0.0042075381767611	0.000354316918447438	7.54509807882758e-05	0.00032706801707743	7.6442984017256e-05	0.00409770186010172	0.00174296065418749	6.64016553814783e-05	3.34505206168085e-05	0.003578229811288	0.00281762821182383	166	166.71	3.12905477892667	167	2.4338877385388	157	178
33	"median"	"chr1"	"1q"	183200000	188199999	0.3803622	0.389664461929529	0.201769637958348	0.0548464511797409	0.204691679067831	0.0552792627247326	0.00689408380617343	0.00408096146980767	0.0002988606894834	7.80915309999963e-05	0.000330774036884573	7.63426617142873e-05	0.00410079735942903	0.00164792283068536	6.77066930019481e-05	3.39053085597319e-05	0.00524424175046749	0.00248685164267257	166	166.71	3.12905477892667	167	2.4338877385388	157	178
34	"median"	"chr1"	"1q"	188200000	193199999	0.3455544	0.359415993681548	0.1867579080939	0.0546454568981752	0.199130429784395	0.0545807035804796	0.00209481956613407	0.00456788587692578	0.000254209662503447	8.91128766406731e-05	0.000314678199364556	8.39349211944366e-05	0.0038692248980589	0.00654486513662007	6.19426777200769e-05	3.46747706797353e-05	0.00418005281114795	0.00656857831789265	166	166.71	3.12905477892667	167	2.4338877385388	157	178
35	"median"	"chr1"	"1q"	193200000	198199999	0.3529694	0.365917297110542	0.186138971717719	0.0545777273644047	0.196131957518745	0.0545635421137716	-0.000579369875985697	0.00410788676989428	0.000262734502258302	8.69229177061085e-05	0.000312938961177724	8.20205804185911e-05	0.00387267207877922	0.00531138974115348	6.13773310396697e-05	3.42569151648309e-05	0.00323343442004831	0.00549302718763771	166	166.71	3.12905477892667	167	2.4338877385388	157	178
36	"median"	"chr1"	"1q"	198200000	203199999	0.4236174	0.434589780607205	0.212031322489491	0.0558613343690731	0.201422867724202	0.0569382045765247	0.00613717671065485	0.00387803798604339	0.000365227848466041	7.54552515479546e-05	0.000339681349054982	7.56930832399512e-05	0.00319857919618624	0.00198450527508316	6.841959143908e-05	3.46214665220737e-05	0.00498519537017469	0.00227331231611374	166	166.71	3.12905477892667	167	2.4338877385388	157	178
37	"median"	"chr1"	"1q"	203200000	208199999	0.4521068	0.461241463792196	0.227511258327441	0.0559990996695813	0.213841114733204	0.0564795315795075	0.0116890174925555	0.00328358614224691	0.000410423919941425	8.22261929714826e-05	0.000357000880944833	7.5129250035007e-05	0.00508611363373925	0.00223142253741858	7.63414663419787e-05	3.44509549925267e-05	0.00835636682385309	0.00288842051233408	166	166.71	3.12905477892667	167	2.4338877385388	157	178
38	"median"	"chr1"	"1q"	208200000	213199999	0.4181968	0.426338335360148	0.209020753727429	0.0534272064710859	0.203278975414145	0.0539802915809222	0.000957032032425094	0.00271995101550649	0.000337790959969023	6.75881094446431e-05	0.00030746335799868	6.71871667298236e-05	-0.0050855727161435	0.00207178667471555	6.25008363913645e-05	2.95330059227238e-05	-0.00395618315865438	0.00238127487007721	166	166.71	3.12905477892667	167	2.4338877385388	157	178
39	"median"	"chr1"	"1q"	213200000	218199999	0.3838846	0.393468626302963	0.192812997298398	0.0530358528096063	0.196257945337446	0.0533711557960347	-0.0108852498798633	0.00357819369273392	0.000298173916547016	7.4482797728946e-05	0.000328253921664421	7.28288938299587e-05	0.000892056560343942	0.00158285671747733	6.33811014649243e-05	3.13389310445725e-05	-0.00275360522722813	0.00222481378400972	166	166.71	3.12905477892667	167	2.4338877385388	157	178
40	"median"	"chr1"	"1q"	218200000	223199999	0.3949662	0.40352418385175	0.19881388452817	0.0568036368469497	0.19946023942041	0.0571326273822591	-0.00177178900282449	0.00473082192850756	0.000326159913704691	7.77302630038393e-05	0.000329453648189633	7.62966719760142e-05	0.00359196089776994	0.00138529067310813	6.56839829600116e-05	3.42361383761506e-05	0.00196630956485356	0.00264385569805661	166	166.71	3.12905477892667	167	2.4338877385388	157	178
41	"median"	"chr1"	"1q"	223200000	228399999	0.4415542	0.45110466086788	0.219324195956032	0.0546689063694665	0.204844363904449	0.0555080137291102	0.00407535076177155	0.00475293366643043	0.000395337753999784	7.66055799536112e-05	0.000325081988454205	7.48495073172975e-05	0.00305998826629242	0.00148964727828834	6.65099240025849e-05	3.32323512222788e-05	0.00396556192689433	0.00260843783209436	166	166.71	3.12905477892667	167	2.4338877385388	157	178
42	"median"	"chr1"	"1q"	228400000	233599999	0.429509	0.441010158388522	0.211383478844862	0.0540512750510333	0.202630833950428	0.05460109709672	-0.000446181068150698	0.00389688827434389	0.000396345590494874	7.54543579216875e-05	0.000338855179610244	7.3638824564199e-05	0.00282391868264961	0.00197272737791466	6.86625076328458e-05	3.25387911634937e-05	0.00198469225187518	0.00258895497233419	166	166.71	3.12905477892667	167	2.4338877385388	157	178
43	"median"	"chr1"	"1q"	233600000	238599999	0.413603	0.423628667376029	0.211450901659915	0.0532694141891236	0.20645062023137	0.053946165358794	0.00656682625558178	0.00372938163277767	0.000337548898233071	6.89544190857092e-05	0.000311072290299139	6.98049217691296e-05	-0.00184094484816713	0.00164293347178116	6.42210672690499e-05	3.07625622295557e-05	-8.70727031900255e-05	0.00238041651244534	166	166.71	3.12905477892667	167	2.4338877385388	157	178
44	"median"	"chr1"	"1q"	238600000	243599999	0.392981	0.401384146607246	0.191745531019979	0.0516396196331243	0.194311974377382	0.0521171526959699	-0.0118820170038629	0.00382932027343141	0.000276139951504674	6.31279827595571e-05	0.000293302050004055	6.19097849931484e-05	-0.0117967068934919	0.00342627889795303	5.68742423350227e-05	2.61987107038496e-05	-0.0135781901678448	0.00373109368502212	166	166.71	3.12905477892667	167	2.4338877385388	157	178
45	"median"	"chr1"	"1q"	243600000	248599999	0.4135976	0.421359882068436	0.220992671068863	0.0560051053644047	0.215087018593364	0.0567029530060239	0.0143878729058492	0.00633015603653577	0.000294224972162804	6.15000041209587e-05	0.000282867523576274	6.15224211039334e-05	-0.0142879828217512	0.00242320719017303	6.07822475215551e-05	2.79038131611316e-05	-0.00922825976630715	0.00318520855649269	166	166.71	3.12905477892667	167	2.4338877385388	157	178
46	"median"	"chr2"	"2p"	100000	5099999	0.4392142	0.451925228536041	0.202355072463768	0.0479948340714613	0.189287506636424	0.0494685365041035	-0.0212247148961441	0.00542391668006737	0.000342069757144642	6.16885400749664e-05	0.000265707219405656	6.39517899117587e-05	-0.01304618036166	0.00293140950010495	5.0295057056594e-05	2.54238538968237e-05	-0.0165849388084984	0.00329289080291338	166	166.71	3.12905477892667	167	2.4338877385388	157	178
47	"median"	"chr2"	"2p"	5100000	10099999	0.4228976	0.433990302800089	0.216334267347948	0.0543954196264841	0.207721754768793	0.0549952669768905	0.00351977397670042	0.00327076611600797	0.000382566605892223	7.70832014918017e-05	0.000334419383741082	7.62187238277573e-05	0.00445617265572932	0.00214120455831036	6.94582235334368e-05	3.3290973293877e-05	0.00531054977970526	0.0026750147302028	166	166.71	3.12905477892667	167	2.4338877385388	157	178
48	"median"	"chr2"	"2p"	10100000	15099999	0.412684	0.422795919516335	0.206520989866961	0.0532372674482321	0.201499909061582	0.0542027411170066	-0.00625025544881409	0.00367184906657745	0.00034510423474934	7.45360956352229e-05	0.000330076543775323	7.56363698846735e-05	0.00314455034583622	0.00108704307682921	6.65103935540889e-05	3.26429189532394e-05	0.000858420123297384	0.00197291121385108	166	166.71	3.12905477892667	167	2.4338877385388	157	178
49	"median"	"chr2"	"2p"	15100000	20199999	0.4075176	0.417071651573043	0.202049089293647	0.051779981866573	0.198586036366894	0.0523733072866517	-0.00998857495566776	0.0037990808660746	0.000352441725671314	7.17344773345812e-05	0.000339367129628982	7.16763190372675e-05	0.00325220976000573	0.00240222856423103	6.73935731462295e-05	3.06157586060265e-05	-0.00136076941676459	0.00304094939548062	166	166.71	3.12905477892667	167	2.4338877385388	157	178
50	"median"	"chr2"	"2p"	20200000	25199999	0.4160844	0.426499816340054	0.202166368114644	0.0540943714638114	0.195254326155061	0.0549922928886275	-0.00558115459262575	0.00516657988374516	0.000349826382372392	7.55497913588907e-05	0.00032534096734246	7.61379007971568e-05	0.00350484861946824	0.0018050572040866	6.3398529932669e-05	3.31710977314975e-05	0.00180575827989223	0.00327067692710994	166	166.71	3.12905477892667	167	2.4338877385388	157	178
51	"median"	"chr2"	"2p"	25200000	30199999	0.4461498	0.454541085792253	0.218269883383723	0.0543394611825065	0.208037297070097	0.0550538797491505	0.00609017933695315	0.00403931299476241	0.000416282027586406	8.02943453532921e-05	0.000346176080072014	7.62363355062027e-05	0.00642014769409713	0.00152247508442039	7.20175360085032e-05	3.42821561998874e-05	0.00805538892755273	0.00257534532496453	166	166.71	3.12905477892667	167	2.4338877385388	157	178
52	"median"	"chr2"	"2p"	30200000	35199999	0.4010992	0.410231992766408	0.206263424097554	0.0544134146103125	0.204105603282136	0.0550711889394256	0.00278421152807458	0.0033668160594222	0.000340753838602866	7.38902702246258e-05	0.000333337600421785	7.4761203592338e-05	0.00354790533968188	0.00102428276932113	6.8036072030708e-05	3.3313112496889e-05	0.00395843109189381	0.00181590096194866	166	166.71	3.12905477892667	167	2.4338877385388	157	178
53	"median"	"chr2"	"2p"	35200000	40199999	0.3953414	0.404848149975656	0.207233261809248	0.0553348566195535	0.207193623325014	0.0558509548861835	0.00887238992523645	0.00471821401692418	0.000323527284115217	7.30607554352e-05	0.000330898086716013	7.30699951299503e-05	0.00235635938215336	0.00148547516939367	6.85599735380053e-05	3.35780522568763e-05	0.00516879187061728	0.00287496114421985	166	166.71	3.12905477892667	167	2.4338877385388	157	178
54	"median"	"chr2"	"2p"	40200000	45199999	0.4078556	0.416942925883488	0.208113364823562	0.0545005079391288	0.204309340519895	0.0553882240233147	0.00445321396099439	0.00506317470480749	0.000348082820173111	7.63281289823196e-05	0.000341992423417783	7.79133931690988e-05	0.00585845825144624	0.00165189894170146	6.91824855161101e-05	3.4513163924564e-05	0.00653598159012126	0.0029120736563311	166	166.71	3.12905477892667	167	2.4338877385388	157	178
55	"median"	"chr2"	"2p"	45200000	50199999	0.4140638	0.422652736734289	0.209109453900946	0.0544384140528905	0.204649018480839	0.0550901867285348	0.00199178231714854	0.00338124226568776	0.000368351730739752	7.50043954711817e-05	0.000351633028534525	7.50158900153583e-05	0.0059181529921191	0.00178183174205786	7.12529585829357e-05	3.38326452107338e-05	0.00594425859902732	0.00238115762367176	166	166.71	3.12905477892667	167	2.4338877385388	157	178
56	"median"	"chr2"	"2p"	50200000	55199999	0.3746186	0.384245020105676	0.196313977148224	0.054198208580736	0.200705235864664	0.0546272174919315	-0.000613494856031538	0.00367227758541361	0.000287128318486829	7.88922519199726e-05	0.000334421002182264	7.66965422822374e-05	0.00271404389288308	0.00210756686822726	6.71200461210886e-05	3.32780512476642e-05	0.00187220449778691	0.00252524501351255	166	166.71	3.12905477892667	167	2.4338877385388	157	178
57	"median"	"chr2"	"2p"	55200000	60199999	0.374794	0.385087899384754	0.194089004642736	0.053011306775221	0.199070490332338	0.0533178771095191	-0.00615567483479257	0.00319385681946093	0.000294282203240836	7.72355778680672e-05	0.000337052743686865	7.3596134440682e-05	0.00361494837677923	0.00170184798735798	6.70875108651119e-05	3.17252219333503e-05	0.00145849489031187	0.00218283110025347	166	166.71	3.12905477892667	167	2.4338877385388	157	178
58	"median"	"chr2"	"2p"	60200000	65199999	0.4103274	0.418617289827976	0.225689685991777	0.0577539311731701	0.221257970940207	0.0582657869997762	0.0235302235631229	0.00511690330099683	0.000366898762240352	7.75958944386013e-05	0.000342100328383534	7.8462800202794e-05	0.00721875133676455	0.00194002957611684	7.56924245161191e-05	3.72912238095346e-05	0.0151260180563402	0.00352041223839505	166	166.71	3.12905477892667	167	2.4338877385388	157	178
59	"median"	"chr2"	"2p"	65200000	70199999	0.4052914	0.413652952748845	0.212003144331659	0.0550435264662215	0.20990045900013	0.0553916873364126	0.00713723672562476	0.00369773100455494	0.000359052732343587	7.43052327788339e-05	0.000350330069645877	7.34165107644907e-05	0.00470714536726817	0.00221506900096332	7.16086399241048e-05	3.3216332205388e-05	0.00649251239998046	0.00270747567167792	166	166.71	3.12905477892667	167	2.4338877385388	157	178
60	"median"	"chr2"	"2p"	70200000	75199999	0.4372124	0.448149120402983	0.218388004763451	0.0551515106595948	0.204431080009293	0.0561860795564233	0.00783486129290273	0.00369885126443895	0.000403997083537812	7.85407754859995e-05	0.000332668847666104	7.82596137874315e-05	0.00557178130322572	0.00197727790032999	6.70768539349021e-05	3.52721295799985e-05	0.00690553505095204	0.00279894992593491	166	166.71	3.12905477892667	167	2.4338877385388	157	178
61	"median"	"chr2"	"2p"	75200000	80199999	0.36798	0.379734177230237	0.188581803510188	0.052251273800109	0.195293165350272	0.0525864917946485	-0.00671722920725261	0.00422590221037311	0.000268585401593155	7.80169474651277e-05	0.000317980490360212	7.43499486011126e-05	0.000827327044908755	0.00228787936092558	6.20994164820777e-05	3.15040753570208e-05	-0.00176531376024137	0.00286500659526738	166	166.71	3.12905477892667	167	2.4338877385388	157	178
